ランキング,店舗名,最寄り,評価,URL
1,手打式超多加水麺 ののくら,亀有駅,4.09,https://tabelog.com/tokyo/A1324/A132403/13215713/
2,麺庵ちとせ,若松河田駅,4.02,https://tabelog.com/tokyo/A1305/A130504/13182327/
3,メンドコロ キナリ,東中野駅,3.97,https://tabelog.com/tokyo/A1319/A131901/13221001/
4,宍道湖しじみ中華蕎麦 琥珀,雑色駅,3.96,https://tabelog.com/tokyo/A1315/A131503/13234195/
5,麺尊 RAGE,西荻窪駅,3.97,https://tabelog.com/tokyo/A1319/A131907/13178309/
6,かしわぎ,東中野駅,3.95,https://tabelog.com/tokyo/A1319/A131901/13209326/
7,麺屋 さくら井,三鷹駅,3.93,https://tabelog.com/tokyo/A1320/A132002/13202438/
8,迂直,荻窪駅,3.96,https://tabelog.com/tokyo/A1319/A131906/13229952/
9,らーめん改,蔵前駅,3.92,https://tabelog.com/tokyo/A1311/A131103/13191776/
10,純手打ち だるま,中野富士見町駅,3.94,https://tabelog.com/tokyo/A1319/A131903/13218715/
11,中華蕎麦にし乃,本郷三丁目駅,3.94,https://tabelog.com/tokyo/A1310/A131004/13218311/
12,らぁ麺やまぐち,面影橋駅,3.93,https://tabelog.com/tokyo/A1305/A130504/13151200/
13,ほっこり中華そば もつけ,八王子駅,3.91,https://tabelog.com/tokyo/A1329/A132904/13192847/
14,中華そば しば田,仙川駅,3.92,https://tabelog.com/tokyo/A1326/A132601/13162681/
15,中華ソバ 伊吹,志村坂上駅,3.9,https://tabelog.com/tokyo/A1322/A132205/13163874/
16,らーめんMAIKAGURA,千歳船橋駅,3.92,https://tabelog.com/tokyo/A1318/A131813/13218425/
17,中華そば 多賀野,荏原中延駅,3.89,https://tabelog.com/tokyo/A1317/A131712/13003421/
18,SOBA HOUSE 金色不如帰 新宿御苑本店,新宿御苑前駅,3.9,https://tabelog.com/tokyo/A1304/A130402/13222172/
19,らーめん飛粋,蒲田駅,3.91,https://tabelog.com/tokyo/A1315/A131503/13217922/
20,Ramen　にじゅうぶんのいち,東尾久三丁目駅,3.91,https://tabelog.com/tokyo/A1324/A132401/13147594/
21,神保町 黒須,神保町駅,3.9,https://tabelog.com/tokyo/A1310/A131003/13201888/
22,ラーメン 健やか,三鷹駅,3.89,https://tabelog.com/tokyo/A1320/A132002/13207054/
23,キング製麺,王子駅前駅,3.9,https://tabelog.com/tokyo/A1323/A132303/13232817/
24,中華蕎麦 蘭鋳,方南町駅,3.89,https://tabelog.com/tokyo/A1319/A131903/13113532/
25,鶏こく中華 すず喜,三鷹駅,3.87,https://tabelog.com/tokyo/A1320/A132002/13215409/
26,中華そば 西川,千歳船橋駅,3.86,https://tabelog.com/tokyo/A1318/A131813/13213036/
27,寿製麺 よしかわ 西台駅前店,西台駅,3.88,https://tabelog.com/tokyo/A1322/A132205/13228611/
28,麺処 しろくろ,八幡山駅,3.9,https://tabelog.com/tokyo/A1318/A131809/13242508/
29,麺処 篠はら,要町駅,3.87,https://tabelog.com/tokyo/A1322/A132202/13188419/
30,自家製中華そば としおか,早稲田駅（メトロ）,3.88,https://tabelog.com/tokyo/A1305/A130504/13182315/
31,中華そば 児ノ木,落合駅,3.89,https://tabelog.com/tokyo/A1319/A131901/13154006/
32,クラム＆ボニート 貝節麺ライク,方南町駅,3.88,https://tabelog.com/tokyo/A1319/A131903/13219341/
33,麺屋一燈,新小岩駅,3.85,https://tabelog.com/tokyo/A1312/A131204/13111737/
34,饗 くろ喜,浅草橋駅,3.92,https://tabelog.com/tokyo/A1310/A131001/13127743/
35,創作麺工房 鳴龍,新大塚駅,3.87,https://tabelog.com/tokyo/A1323/A132302/13141302/
36,麺や金時,江古田駅,3.87,https://tabelog.com/tokyo/A1321/A132101/13139195/
37,中華そば うお青,万願寺駅,3.86,https://tabelog.com/tokyo/A1329/A132903/13229181/
38,銀座 八五,東銀座駅,3.85,https://tabelog.com/tokyo/A1301/A130101/13228602/
39,スパイス・ラー麺 卍力 西葛西店,西葛西駅,3.85,https://tabelog.com/tokyo/A1313/A131305/13168253/
40,一番いちばん,町田駅,3.86,https://tabelog.com/tokyo/A1327/A132701/13001469/
41,中華そば 和渦 TOKYO,北品川駅,3.86,https://tabelog.com/tokyo/A1314/A131405/13233678/
42,らぁめん山と樹,高円寺駅,3.82,https://tabelog.com/tokyo/A1319/A131904/13204607/
43,らぁ麺 はやし田 新宿本店,新宿三丁目駅,3.84,https://tabelog.com/tokyo/A1304/A130401/13216496/
44,ラーメン屋 トイ・ボックス,三ノ輪橋駅,3.84,https://tabelog.com/tokyo/A1324/A132401/13162973/
45,町田汁場 しおらーめん進化 本店,町田駅,3.85,https://tabelog.com/tokyo/A1327/A132701/13050023/
46,麺処 ほん田 秋葉原本店,秋葉原駅,3.87,https://tabelog.com/tokyo/A1310/A131001/13246285/
47,らぁめん小池,上北沢駅,3.85,https://tabelog.com/tokyo/A1318/A131809/13172994/
48,RAMEN GOTTSU,練馬駅,3.77,https://tabelog.com/tokyo/A1321/A132102/13153294/
49,中華そば べんてん,地下鉄成増駅,3.83,https://tabelog.com/tokyo/A1322/A132204/13200351/
50,麺屋 はし本,中野駅,3.81,https://tabelog.com/tokyo/A1319/A131902/13205769/
51,中華そば　堀川,自由が丘駅,3.84,https://tabelog.com/tokyo/A1317/A131703/13243173/
52,麺屋吉左右,木場駅,3.81,https://tabelog.com/tokyo/A1313/A131303/13021140/
53,八咫烏,九段下駅,3.82,https://tabelog.com/tokyo/A1309/A130906/13198710/
54,八雲,池尻大橋駅,3.8,https://tabelog.com/tokyo/A1317/A131705/13204333/
55,中華そば 満鶏軒,錦糸町駅,3.82,https://tabelog.com/tokyo/A1312/A131201/13220773/
56,はやし,渋谷駅,3.79,https://tabelog.com/tokyo/A1303/A130301/13003367/
57,つけ麺 道,亀有駅,3.8,https://tabelog.com/tokyo/A1324/A132403/13094595/
58,ラーメン巌哲,早稲田駅（都電）,3.83,https://tabelog.com/tokyo/A1305/A130504/13167439/
59,らぁめん 葉月,雪が谷大塚駅,3.87,https://tabelog.com/tokyo/A1317/A131714/13008248/
60,食堂七彩,都立家政駅,3.84,https://tabelog.com/tokyo/A1321/A132104/13145418/
61,純手打ち 麺と未来,下北沢駅,3.83,https://tabelog.com/tokyo/A1318/A131802/13221486/
62,スープメン,ときわ台駅,3.82,https://tabelog.com/tokyo/A1322/A132203/13227469/
63,煮干鰮らーめん 圓 八王子本店,京王八王子駅,3.82,https://tabelog.com/tokyo/A1329/A132904/13091258/
64,麺処 晴,入谷駅,3.81,https://tabelog.com/tokyo/A1311/A131104/13143115/
65,麺処 びぎ屋,学芸大学駅,3.82,https://tabelog.com/tokyo/A1317/A131702/13093976/
66,勝本 水道橋店,水道橋駅,3.83,https://tabelog.com/tokyo/A1310/A131003/13179757/
67,超純水採麺 天国屋,成瀬駅,3.81,https://tabelog.com/tokyo/A1327/A132701/13162732/
68,中華そば屋 伊藤,王子神谷駅,3.79,https://tabelog.com/tokyo/A1323/A132304/13008779/
69,麺 みつヰ,浅草駅（つくばＥＸＰ）,3.76,https://tabelog.com/tokyo/A1311/A131102/13203387/
70,燦燦斗,東十条駅,3.8,https://tabelog.com/tokyo/A1323/A132304/13038064/
71,煮干そば 流。,十条駅,3.83,https://tabelog.com/tokyo/A1323/A132304/13175140/
72,MENSHO,護国寺駅,3.8,https://tabelog.com/tokyo/A1323/A132302/13203848/
73,月曜日は煮干rabo,永福町駅,3.8,https://tabelog.com/tokyo/A1318/A131805/13229593/
74,六厘舎,東京駅,3.79,https://tabelog.com/tokyo/A1302/A130201/13093047/
75,風雲児,南新宿駅,3.79,https://tabelog.com/tokyo/A1304/A130401/13044091/
76,麺屋ひょっとこ 交通会館店,有楽町駅,3.79,https://tabelog.com/tokyo/A1301/A130102/13046637/
77,つけ麺 五ノ神製作所 新宿店,新宿三丁目駅,3.79,https://tabelog.com/tokyo/A1304/A130401/13120708/
78,むぎとオリーブ 銀座店,東銀座駅,3.79,https://tabelog.com/tokyo/A1301/A130101/13164932/
79,こうかいぼう,門前仲町駅,3.79,https://tabelog.com/tokyo/A1313/A131303/13005052/
80,麺屋 翔 本店,西武新宿駅,3.78,https://tabelog.com/tokyo/A1304/A130401/13040181/
81,青島食堂 秋葉原店,岩本町駅,3.79,https://tabelog.com/tokyo/A1310/A131001/13094776/
82,田中商店 本店,六町駅,3.79,https://tabelog.com/tokyo/A1324/A132404/13003726/
83,はつね,西荻窪駅,3.79,https://tabelog.com/tokyo/A1319/A131907/13000717/
84,喜楽,神泉駅,3.78,https://tabelog.com/tokyo/A1303/A130301/13001705/
85,銀座 朧月,銀座駅,3.78,https://tabelog.com/tokyo/A1301/A130101/13118141/
86,麺や 七彩,八丁堀駅,3.78,https://tabelog.com/tokyo/A1302/A130203/13184399/
87,麺処 銀笹,築地市場駅,3.78,https://tabelog.com/tokyo/A1301/A130103/13119563/
88,ラーメン大至,御茶ノ水駅,3.78,https://tabelog.com/tokyo/A1310/A131002/13042832/
89,麺屋 Hulu-lu,池袋駅,3.78,https://tabelog.com/tokyo/A1305/A130501/13136428/
90,煮干しつけ麺 宮元,蒲田駅,3.77,https://tabelog.com/tokyo/A1315/A131503/13180862/
91,RAMEN CiQUE,南阿佐ケ谷駅,3.78,https://tabelog.com/tokyo/A1319/A131905/13048520/
92,中華そば ふくみみ,分倍河原駅,3.78,https://tabelog.com/tokyo/A1326/A132602/13016486/
93,竹末東京Premium,押上駅,3.78,https://tabelog.com/tokyo/A1312/A131203/13167920/
94,神名備,西日暮里駅,3.78,https://tabelog.com/tokyo/A1311/A131105/13006070/
95,鶏そば ムタヒロ 2号店,国分寺駅,3.78,https://tabelog.com/tokyo/A1325/A132502/13147068/
96,たんたん亭,浜田山駅,3.78,https://tabelog.com/tokyo/A1318/A131805/13000705/
97,麺屋海神 新宿店,新宿駅,3.77,https://tabelog.com/tokyo/A1304/A130401/13045287/
98,ラーメン二郎 三田本店,三田駅,3.77,https://tabelog.com/tokyo/A1314/A131402/13006051/
99,新橋 纏,新橋駅,3.77,https://tabelog.com/tokyo/A1301/A130103/13156937/
100,四川担担麺 阿吽 湯島本店,湯島駅,3.77,https://tabelog.com/tokyo/A1311/A131101/13042564/
